,Molweight,Atoms,Heavy Atoms,Rings,Bonds,Rotatable Bonds,H-bond Donors,H-bond Acceptors,Sweetness
0,294.303,21.0,21.0,1.0,21.0,9.0,3.0,7.0,160.0
1,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
2,218.307,12.0,12.0,1.0,11.0,2.0,1.0,4.0,40.0
3,294.303,21.0,21.0,1.0,21.0,9.0,3.0,7.0,160.0
4,205.166,13.0,13.0,2.0,13.0,0.0,0.0,4.0,300.0
5,217.328,12.0,12.0,1.0,11.0,2.0,1.0,4.0,50.0
6,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
7,178.229,11.0,11.0,1.0,11.0,2.0,1.0,4.0,30.0
8,182.177,12.0,12.0,2.0,13.0,0.0,0.0,4.0,300.0
9,804.872,56.0,56.0,7.0,62.0,10.0,11.0,18.0,250.0
10,422.446,26.0,26.0,4.0,26.0,0.0,1.0,7.0,300.0
11,397.633,23.0,23.0,2.0,24.0,5.0,5.0,8.0,600.0
12,183.184,12.0,12.0,2.0,13.0,0.0,1.0,4.0,300.0
13,294.303,21.0,21.0,1.0,21.0,9.0,3.0,7.0,160.0
14,294.303,21.0,21.0,1.0,21.0,9.0,3.0,7.0,160.0
15,294.303,21.0,21.0,1.0,21.0,9.0,3.0,7.0,160.0
16,294.303,21.0,21.0,1.0,21.0,9.0,2.0,6.0,160.0
17,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
18,397.633,23.0,23.0,2.0,24.0,5.0,5.0,8.0,600.0
19,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
20,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
21,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
22,179.237,11.0,11.0,1.0,11.0,2.0,2.0,4.0,30.0
23,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
24,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
25,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
26,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
27,181.149,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
28,182.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
29,182.141,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
30,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
31,181.149,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
32,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
33,192.111,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
34,343.289,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
35,343.289,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
36,181.149,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
37,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
38,181.149,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
39,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
40,360.312,24.0,24.0,2.0,24.0,4.0,9.0,12.0,0.175
41,180.156,12.0,12.0,0.0,11.0,5.0,5.0,6.0,0.42
42,181.149,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
43,186.112,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
44,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
45,181.173,12.0,12.0,0.0,11.0,5.0,6.0,6.0,0.54
46,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
47,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
48,342.296,23.0,23.0,2.0,24.0,5.0,8.0,11.0,1.0
49,181.149,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
50,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
51,192.111,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
52,181.149,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
53,182.172,12.0,12.0,0.0,11.0,5.0,6.0,6.0,0.54
54,179.16,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
55,194.127,12.0,12.0,0.0,11.0,5.0,6.0,6.0,0.54
56,182.141,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
57,184.126,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
58,182.141,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
59,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
60,179.157,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
61,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
62,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
63,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
64,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
65,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
66,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
67,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
68,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
69,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
70,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
71,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
72,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
73,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
74,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
75,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
76,182.141,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
77,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
78,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
79,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
80,182.172,12.0,12.0,0.0,11.0,5.0,6.0,6.0,0.6
81,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
82,182.172,12.0,12.0,0.0,11.0,5.0,6.0,6.0,0.54
83,182.172,12.0,12.0,0.0,11.0,5.0,6.0,6.0,0.54
84,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
85,360.312,24.0,24.0,2.0,24.0,4.0,9.0,12.0,0.4
86,180.156,12.0,12.0,0.0,11.0,5.0,5.0,6.0,0.42
87,460.165,21.0,21.0,1.0,12.0,1.0,7.0,8.0,0.75
88,254.707,14.0,14.0,1.0,12.0,1.0,5.0,6.0,0.75
89,313.15,16.0,16.0,1.0,12.0,1.0,5.0,6.0,0.75
90,238.599,14.0,14.0,1.0,12.0,1.0,5.0,6.0,0.75
91,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
92,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
93,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
94,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.0
95,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
96,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.32
97,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
98,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
99,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
100,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
101,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
102,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
103,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
104,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
105,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
106,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
107,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
108,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
109,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
110,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
111,174.16,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
112,179.157,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
113,179.157,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
114,198.171,13.0,13.0,1.0,12.0,1.0,6.0,7.0,0.75
115,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
116,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
117,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
118,182.172,12.0,12.0,0.0,11.0,5.0,6.0,6.0,0.54
119,184.164,12.0,12.0,0.0,11.0,5.0,6.0,6.0,0.54
120,182.172,12.0,12.0,0.0,11.0,5.0,6.0,6.0,0.54
121,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
122,180.156,12.0,12.0,0.0,11.0,5.0,5.0,6.0,1.7
123,342.296,23.0,23.0,2.0,24.0,5.0,8.0,11.0,1.0
124,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
125,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
126,182.172,12.0,12.0,0.0,11.0,5.0,6.0,6.0,0.69
127,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.3
128,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
129,342.296,23.0,23.0,2.0,24.0,5.0,8.0,11.0,1.0
130,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
131,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
132,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
133,342.296,23.0,23.0,2.0,24.0,5.0,8.0,11.0,1.0
134,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
135,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
136,198.171,13.0,13.0,1.0,12.0,1.0,6.0,7.0,0.75
137,152.146,10.0,10.0,0.0,9.0,4.0,5.0,5.0,1.0
138,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
139,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
140,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
141,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
142,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
143,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
144,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
145,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
146,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
147,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
148,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
149,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
150,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
151,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
152,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
153,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
154,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
155,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
156,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.42
157,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
158,182.172,12.0,12.0,0.0,11.0,5.0,6.0,6.0,0.54
159,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
160,182.172,12.0,12.0,0.0,11.0,5.0,6.0,6.0,0.54
161,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
162,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
163,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
164,181.149,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
165,181.149,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
166,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
167,182.141,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
168,183.164,12.0,12.0,0.0,11.0,5.0,6.0,6.0,0.54
169,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
170,182.141,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
171,184.164,12.0,12.0,0.0,11.0,5.0,6.0,6.0,0.54
172,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
173,378.463,27.0,27.0,1.0,27.0,13.0,3.0,7.0,8000.0
174,378.463,27.0,27.0,1.0,27.0,13.0,3.0,7.0,8000.0
175,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.15
176,294.303,21.0,21.0,1.0,21.0,8.0,3.0,7.0,180.0
177,378.463,27.0,27.0,1.0,27.0,13.0,3.0,7.0,8000.0
178,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.15
179,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.32
180,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,1.7
181,378.463,27.0,27.0,1.0,27.0,13.0,3.0,7.0,8000.0
182,196.203,14.0,14.0,1.0,14.0,4.0,1.0,2.0,4000.0
183,201.242,11.0,11.0,1.0,10.0,0.0,0.0,4.0,165.0
184,331.431,22.0,22.0,1.0,22.0,8.0,4.0,8.0,2000.0
185,180.204,13.0,13.0,1.0,13.0,4.0,2.0,4.0,250.0
186,300.357,23.0,23.0,3.0,25.0,5.0,1.0,4.0,300.0
187,236.35,17.0,17.0,1.0,17.0,4.0,1.0,2.0,1000.0
188,612.576,43.0,43.0,4.0,46.0,10.0,9.0,15.0,500.0
189,0.0,43.0,43.0,4.0,46.0,10.0,9.0,15.0,1500.0
190,378.463,27.0,27.0,1.0,27.0,13.0,3.0,7.0,8000.0
191,165.232,12.0,12.0,1.0,12.0,2.0,1.0,2.0,2000.0
192,286.279,21.0,21.0,3.0,23.0,2.0,2.0,5.0,250.0
193,122.12,8.0,8.0,0.0,7.0,3.0,4.0,4.0,0.7
194,180.156,12.0,12.0,0.0,11.0,5.0,5.0,6.0,0.92
195,457.455,31.0,31.0,2.0,31.0,9.0,4.0,12.0,350.0
196,347.221,23.0,23.0,3.0,25.0,4.0,5.0,12.0,0.0
197,167.205,12.0,12.0,1.0,12.0,3.0,1.0,3.0,450.0
